load cell voltage,load cell voltage STD,Transducer voltage,Transducer voltage STD,Re,Cd
0.000134,0,0.155078,0.078857,158538.2552,0.313635
0.000143,0,0.239544,0.080489,204507.0691,0.292077
0.000154,0,0.335709,0.082333,246624.1945,0.284456
0.00016,0,0.394727,0.082333,269228.9487,0.27751
0.000166,0,0.455149,0.083024,290555.69,0.273323
0.000172,0.000001,0.517523,0.091308,311040.8042,0.268369
0.000178,0,0.583142,0.085906,331227.003,0.263199
0.000183,0,0.653814,0.084752,351674.337,0.254678
0.000187,0.000001,0.7247,0.074733,371053.2423,0.242252
0.000183,0.000002,0.798111,0.072327,390109.0339,0.205315
0.000152,0.000008,0.871376,0.07382,408241.0804,0.097859
0.000183,0.000002,0.795792,0.074238,389521.3454,0.208827
0.000188,0.000001,0.722424,0.073066,370446.7031,0.245965
0.000184,0,0.651619,0.084566,351057.1436,0.257768
0.000178,0,0.581443,0.086679,330720.0354,0.265495
0.000172,0,0.516371,0.08647,310674.7406,0.271434
0.000166,0,0.452641,0.084277,289701.6376,0.276834
0.00016,0,0.395677,0.085027,269577.4756,0.279376
0.000154,0,0.33965,0.082261,248197.8928,0.28372
0.000149,0,0.287292,0.08171,226400.8579,0.291411
0.000144,0,0.238312,0.080864,203911.4201,0.299629
